Gender,Price (INR),NumImages,ProductID,Description,PrimaryColor
Women,1799,5,10028931,"A pair of green round-toe flats, has regular styling, slip-on detailLeather upperCushioned footbedTextured and patterned outsole", Green
Unisex,805,5,10027163,Set content: 5 Cushion Covers Colour: Yellow Shape: Square Pattern: Floral Closure: Zip, Yellow
Men,499,5,10219649,A pair of blue and grey printed flip flopsRubber upper materialCushioned footbedPatterned rubber outsoleWarranty: 3 monthsWarranty provided by brand/manufacturer,Blue
Boys,849,3,10256861,"Coloured no fade brown jeansslim fit, mid-riseClean lookStretchable3 insert pockets and 2 patch pockets Length: regular", Brown
Men,612,5,10014735,"Pack of two printed regular-fit boxers in green and blue, each has an inner elasticated waistband, button fly, slip-on closure",
Women,850,5,10166741,"Display: AnalogueMovement: QuartzPower source: BatteryDial style: Embellished round brass dialFeatures: Reset TimeStrap style: Rose Gold-Plated bracelet style, metal strap with a button closureWater resistance: Water ResistantWarranty: 1 yearWarranty provided by brand/manufacturer Comes in a signature Newton case", White
Women,799,5,10185307,"Magenta and golden woven printed maxi flared skirt, has an elasticated waistband, flared hem", Red
Men,749,5,10060233,"Blue and Grey printed formal shirt, has a spread collar, long sleeves, button placket, and curved hem",Blue
Women,797,5,10264741,Design Detail:Charcoal grey lace saree with embelished detailBlouse PieceThe model is wearing a stitched version of the blouse. The saree comes with an unstitched blouse piece., Grey
Women,1199,5,10194537,"Black solid sweater with embelished detail, has a round neck, long sleeves, and ribbed hem", Black
Men,832,5,10249101,"White printed T-shirt, has a polo collar, and short sleeves", White
Women,1759,5,10048389,"Design Detail:Beige na  embroidered saree and has an embroidered border Blouse PieceThe model is wearing a blouse from our stylists collection, see the image for a mock-up of what the actual blouse would look like", Red
Girls,874,3,10043709,"Black, Pink and navy solid cardigan, has a round neck, long sleeves, button closure, and ribbed hem, 2 pockets", Black
Women,909,4,10170325,"Black mid-rise solid treggings with zip detailing, has a slip-on closure", Black
Women,1199,5,10194439,"Off-white solid sweater, has a round neck, long sleeves with beaded detail, ribbed hem", White
Women,1599,5,10110795,Black solid mid-rise maternity trousers and hook and bar closure, Black
Women,631,6,1020977,"Black woven embroidered shift dress, has a boat neck, short extended sleeves, an attached lining", Red
Boys,699,4,10244575,"Soft jersey knitLapped shoulders, long sleevesCrewneckSnaps at inseam for easy dressing and diaperingAllover print",
Men,1849,5,10159037,"Navy blue dark wash 5-pocket mid-rise jeans, clean look, heavy fade, has a button and zip closure, and waistband with belt loops",Blue
Men,2599,7,10248187,"Design Details:A pair of black running sports shoes, has regular styling, lace-up detailMesh and synthetic upperCushioned footbedTextured and patterned outsoleWarranty: 3 monthsWarranty provided by brand/manufacturer", Black
Women,957,4,10207243,"Display: AnalogueMovement: QuartzPower source: BatteryDial style: Printed round brass dialFeatures: Reset TimeStrap style: White regular, leather strap with a tang closureWater resistance: Non-ResistantWarranty: 1 yearWarranty provided by brand/manufacturer Comes in a signature Chumbak case", White
Men,3824,5,10217079,"Blue solid Formal blazer, has a notched lapel, single-breasted with two button closures, long sleeves, five pockets, vented back hemComes with a detachable lapel pin",Blue
Men,1799,5,10187847,"Black and Grey colourblocked sweater, has a ribbed round neck, long sleeves, and ribbed hem", Black
Women,580,5,10019851,"Black solid woven regular top, has a round neck, sleeveless, scalloped hem", Black
Women,7920,2,10001981,"Michael Kors presents this 'Wonderlust' EDPLast for: 2-3 hoursNotes:       spiced notes and heady notes of blushed dianthus, pure jasmine sambac absolute, and buttery heliotrope melt into a warm, exotic finish of cashmeran wood, benzoin Siam and Sri Lanka sandalwood",
Unisex,699,3,10115339,Content: Singe Ceramic mugPattern: PrintedFinish: MatteMaterial: Ceramic, Black
Men,944,6,10154523,"White and Blue checked casual shirt, has a spread collar, long sleeves, button placket, curved hem, and 1 patch pocket",Blue
Women,685,5,10002673,"Navy Blue printed casual shirt, has a spread collar, long sleeves, button placket,  curved hem, one patch pocket",Blue
Women,2700,5,10033779,"Colour shade name: CosmicColour shade number: 03What it isHoused in a luxurious glass jar, Shiseido Aura Dew - Face, Eyes, Lips is a divine multi-use cream highlighterthat immediately illuminates the skin. This multidimensional highlighter suspends ultra-fine rose, silver, and gold Japanese pearls in a cushiony, transparent base that melds seamlessly with every skin tone.What it doesThis multi-use highlighter transforms and illuminates the skin with a breathable, formula that feels invisible and lasts for 12 hours.Features:lts revolutionary texture ensures that this highlighter stays put for 12 hours without caking and can be easily layered over eye, lip, or cheek products without compromising color or adding weight.This product is dermatologist- and ophthalmologist- tested.",
Women,616,5,10235345,"Red printed lounge t-shirts, has a round neck, short sleeves.", Red
Men,719,5,10254385,"Black and Off-white printed casual shirt, has a spread collar, long sleeves, button placket, curved hem, and 1 patch pocket", Black
Women,509,5,10128953,"Yellow printed sweatshirt, has a hood, one pocket, long sleeves, straight hem", Yellow
Unisex,1836,5,10003813,Type: Handcrafted Table Lamp with ShadeColour: Gold-Toned and greenPattern: SolidShape: FrustumShade material: FabricBase material: AluminiumBulb Holder Type: E27Switch Type: Toggle ButtonComes with bulb, Green
Men,4999,5,10040171,"Maroon solid formal suitMaroon solid slim-fit bandhgala blazer, has a mandarin collar, single-breasted with a full-button placket, long sleeves, three pockets, and a double-vented back hemComes with a pocket squareMaroon solid mid-rise formal trousers, has four pockets, a zip fly button closure and a hook-and-bar closure, a waistband with belt loops", Maroon
Boys,719,4,10135979,"Grey Melange printed sweatshirt, has a Mock collar, applique detail, two pockets, long sleeves, zip closure, straight hem", Grey
Women,593,4,10000667,Pack of 2Black and Beige solid medium-coverage Everyday braNon Padded and Non-Wired cut and sew cupsRegular straps and back closureBack style: RegularFeature: All Day Comfort, Black
Men,839,4,10176755,"Grey melange solid trunk, has an elasticated waistband, a double-layered contoured front pouch", Grey
Girls,1249,5,10244371,"Soft knitLong sleeves with banded cuffsSnap-tab closure at crewneck, zip frontEar appliques at hoodAllover print, logo graphics at chestBanded cuffs keep from riding up baby's legsSnaps at inseam for easy dressing and diapering",
Women,626,5,10246089,"A pair of beige open-toe flats, has regular styling, no back strap detailSynthetic upperCushioned footbedTextured and patterned outsoleWarranty: 60 days against manufacturing defects only (not valid on products under discount or promotional offer)Warranty provided by brand/manufacturer", Beige
Unisex,2624,8,10181923,"Grey & navy blue backpackNon-Padded haul loop1 main compartment with zip closurePadded backZip Pocket, 1 side stash pocketPadded shoulder strap: PaddedWater-resistance: NoWarranty: 3 monthsWarranty provided by brand/manufacturer",Blue
Girls,1049,4,10213159,"Peach-Coloured printed sweatshirt with a round neck, long sleeves, straight hem", Red
Women,1712,6,10252693,"Beige solid handheld bag, has a zip closure1 main compartment, 1 external and 3 inner pocketsTablet sleeve: NoTwo Handles", Beige
Men,674,5,10147309,"Red striped T-shirt, has a polo collar, and short sleeves", Red
Men,584,5,10162275,"A pair of grey solid joggers, has an elasticated waistband with slip on closure, three pockets and cuffed hem", Grey
Unisex,1299,7,10181759,Maroon backpackNon-Padded haul loop1 main compartment with zip closurePadded back1 external zip pocket1 side stash pocketPadded shoulder strap: PaddedWater-resistance: NoWarranty: 3 monthsWarranty provided by brand/manufacturer, Maroon
Women,5655,5,10144179,"A pair of round-toe gold-toned loafers, has regular styling, slip-on detailLeather upperCushioned footbedTextured and patterned outsoleWarranty: 1 monthWarranty provided by brand/manufacturer", Gold
Men,519,5,10044639,"Blue and Off-white printed casual shirt, has a spread collar, long sleeves, button placket, and straight hem",Blue
Men,449,5,10146983,"Grey Melange printed T-shirt, has a round neck, and short sleeves", Grey
Men,2799,7,10266847,"A pair of round-toe black sneakers, has regular styling, slip-on detailSynthetic Leather upperCushioned footbedTextured and patterned outsoleWarranty: 3 monthsWarranty provided by brand/manufacturer", Black
Men,2476,5,10051939,"Display: AnalogueMovement: QuartzPower source: BatteryDial style: Printed round stainless steel dialFeatures: Reset TimeStrap style: Silver-Toned bracelet style, stainless steel strap with a foldover closureWater resistance: 50 mWarranty: 2 yearsWarranty provided by brand/manufacturerComes in a Titan case",Blue
Unisex,629,4,10214835,Set content: 2 Door curtainsColour: BluePattern: Floral PrintedLight blocking: RegularFitting: EyeletLining: No,Blue
Women,1224,7,10131711,"A pair of beige open toe wedges with metallic detail, has regular styling, backstrap with buckle detailSynthetic upperCushioned footbedTextured and patterned outsole, has a wedge heelWarranty: 1 monthWarranty provided by brand/manufacturer", Beige
Women,1624,6,10208789,"A pair of navy blue pointed toe self-checked pumps, has regular styling, closed back detailTextile upper with bow detailCushioned footbedTextured and patterned outsole, has a slim heelWarranty: 6 monthsWarranty provided by brand/manufacturer",Blue
Women,2249,5,10207333,"Taupe, red and golden printed woven maxi dress, has a keyhole neck with button closure, long sleeves, and flared hem", Red
Men,1299,5,10254369,"Burgundy and Beige checked casual shirt, has a button-down collar, long sleeves, button placket, curved hem, and 1 patch pocket", Beige
Women,499,5,10044459,"Display: AnalogueMovement: QuartzPower source: BatteryDial style: Embellished round stainless steel dialFeatures: Multi FunctionStrap style: Rose Gold-Toned bracelet style, stainless steel strap with a button closureWater resistance: Water ResistantWarranty: 1 yearWarranty provided by brand/manufacturer Comes in a signature TIMESMITH case", Brown
Men,449,4,10060661,"Green striped T-shirt, has a polo collar, and short sleeves", Green
Men,1124,6,10151673,"Navy Blue self-striped smart casual shirt, has a button-down collar, long sleeves, button placket, curved hem, and 1 flap pocket",Blue
Women,679,5,10207087,"Off-white, maroon and black striped straight kurta with embroidered detail, has a mandarin collar, three-quarter sleeves, straight hem, multiple slits, mock button placket", White
Women,499,4,10246499,Blue printed half-coverage T-shirt bra Lightly Padded and Underwired seamless cups Regular straps and back closure Back style: Regular Feature: All Day Comfort,Blue
Women,999,5,10072515,"Cream-Coloured night suit consists of t-shirt and pyjamasCream-Coloured  printed  t-shirt, has a round neck, short sleevesA pair of cream-coloured printed pyjamas, has slip-on closure", Red
Unisex,443,4,10202499,Set content: 2 Window curtainsColour: White and GreenPattern: Floral WindowLight blocking: RegularFitting: EyeletLining: No, Green
Women,789,4,10133067,"Green embroidered straight layered kurta, has a round neck, three-quarter sleeves, straight hem, and side slits", Green
Men,1311,5,10222933,"Orange woven design straight kurta, has a mandarin collar, long sleeves, straight hem, and side slits", Orange
Men,1999,5,10149243,"Charcoal grey solid low-rise chinos, button closure, and 5 pockets", Grey
Girls,599,6,10039955,"Pink printed knitted t-shirt %S, has a round neck, short sleeves, and flared hem", Pink
Women,519,5,10274837,"Green and Gold-toned printed woven fit and flare dress, has a round neck, three-quarter sleeves, button closure, and flared hem", Green
Women,695,5,10018801,"Blue embroidered anarkali kurta, has a round neck, three-quarter sleeves, flared hem",Blue
Men,628,4,10019241,"Pack of 2 briefs in Black & Navy with contoured front pouch and anti-microbial finish that prevents odours and rashes.

Key Features:

Intellisoft: Our fabric technology makes for the softest, smoothest and comfiest innerwear ever, making you forget you are wearing anything at all. 
Feel: 3Xsofter and 50% more moisture absorbent than regular cotton.
Snug Fit:Fits your form without clinging to your skin and offers fantastic support.
Waistband:Anti-roll microfibre waistband that doesn't leave marks.
Skin Hygiene:Flat-lock seams are smooth on skin so there is no itching, chafing or irritation.",
Women,1299,7,10058485,"Blue medium wash 5-pocket mid-rise cropped jeans, clean look, no fade, has a button and zip closure, and waistband with belt loops",Blue
Unisex,919,9,10181817,Design Details:Black backpackNon-Padded haul loop1 main compartment with zip closurePadded backZip PocketPadded shoulder strap: PaddedWater-resistance: NoLaptop Size: Upto 15 inchWarranty: 1 yearWarranty provided by brand/manufacturer, Black
Unisex,1159,5,10162339,"Set content: One showpieceColour: MulticolouredSize: MediumPattern: HandcraftedShape: Tribal Sitting Musician DollDisclaimer: Since it is a handcrafted item, the painting and color of product may vary from images.", Gold
Men,804,5,10173579,"Black solid mid-rise trousers, button closure, and 4 pockets", Black
Men,1999,4,1005144,"Off-white and navy blue cardigan, has a V-neck, a full button placket, long sleeves with elbow patches", White
Unisex,924,5,10132123,Set content: Basic Wall Shelf with two compartmnets (1 rectangular and 2 square)Colour: Brown and RedMaterial: MDFPattern: Colourblocked,
Unisex,527,5,10179341,Set content: 2 Cushion CoversColour: Black and gold-tonedShape: RectanglePattern: Self DesignOrnamentation: EmbellishedClosure: Zip, Black
Unisex,629,4,10214823,Set content: 2 Door curtainsColour: Green and BeigePattern: Geometric DoorLight blocking: RegularFitting: Eyelet,
Men,1679,7,10002467,"A pair of round-toe black sneakers, has mid-top styling, lace-up detailSynthetic upperCushioned footbedTextured and patterned outsoleWarranty: 3 monthsWarranty provided by brand/manufacturer", Red
Boys,879,5,10137487,"Yellow solid patahni kurta with salwarYellow solid pakistani style knee length kurta, has a shirt collar, long sleeves, curved hemYellow solid salwar, drawstring closure", Yellow
Women,1584,6,10258385,"Plum NaturStudio All-Day-Wear Kohl Kajal with SharpnerShade name: BlackWhat it isNatural Studio All-Day-Wear Kohl KajalComes with a sharpnerWhat it doesNaturStudio All-Day-Wear Kohl Kajal is safe for use as a liner and as a kohl-kajalGo ahead, create looks to your heart's contentWaterproof and smudge-free formulaIngredientsHydrogenated Castor OilRice Bran WaxNatural Vitamin EPlum Women Bright Years Restorative Overnight Creme 50 mlWhat It Is:Plum Women Bright Years Restorative Overnight Creme 50mlSleep bright with Plum Bright Years Restorative Overnight CremeWhen you're sleeping is when your skin is at its rested, receptive best.What It Does: Treat your skin to the goodness of hydrating olive, argan, betaine and Vit E, while high-performance plant stem cells get to work deep within to rejuvenate and repair. Proven natural wrinkle-fighters and licorice extracts help fight fine lines and dark spots. Plant-derived AHAs further boost skin renewal. Here's to brighter days, and brighter nights ahead!Features:Highly hydrating night cream formulationMulti-action moisturization from olive, argan, shea butter, hyaluronic acid, plant betaine and Vit EStem cells derived from plants help rejuvenate the skin's own stem cells, leading to improved skin health and supplenessPlant polypeptides and amino acids for smooth, even texture and spot reductionPlant-derived AHAs boost cell renewalLicorice extract aids in fighting pigmentationCalming aloe juice brings relief to tired skinA little goes a long way!Plum Green Tea Revitalizing Face Mist What It Is:Plum Green Tea Revitalizing Face MistWhat It Does:Don't just refresh, bring alive! For all those times during the day when you need freshness on the go, reach out for this easy-carry, quick spray Green Tea Revitalizing Face Mist that not only cools down and refreshes skin, but also revitalizes it. Specifically made for combination and oily skin, this revitalizing face mist is infused with green tea, aloe juice, ginger root, goji berry and ginkgo biloba extracts. It is rich in antioxidants, minerals and acne-fighting compounds. Aloe juice is just great to calm your skin after sun exposure, and the signature refreshing green-tea fragrance is sheer goodness on the go! All ingredients chosen are non-sticky and non-comedogenic (no clogged pores). And as always, this plum is 100% vegan, paraben-free, phthalate-free, and not tested on animals.Features:Instantly cooling, refreshing & revitalizing face mistNon-comedogenic ingredientsCan be used alongside SPF and moisturizersTravel-friendly spray pack",
Girls,399,3,10212893,"Pink and brown printed T-shirt with applique detail, has a round neck, and long sleeves", Brown
Men,1799,7,10262881,"Navy Blue wash five-pocket mid-rise jeans, no fade, and has a button and zip closure Design Details-	73 FASHION- RAW- CLASSIC DENIM WITH STYLISED 5 POCKET SLIMFIT- MID RISE  JEANS  JEANS,  DARK RINSE- CLEAN LOOK NON FADED,   ZIP FLY WITH 5 BELT  LOOPS",Blue
Men,499,5,10219663,A pair of khaki and navy blue printed flip flopsRubber upper materialCushioned footbedPatterned rubber outsoleWarranty: 3 monthsWarranty provided by brand/manufacturer,Blue
Boys,699,3,10145333,"Standout, specially designed graphics let you be youSoft knitShort sleevesCrewneckAssorted graphics at front",
Women,1877,4,10027241,"Navy Blue and maroon printed kurta with palazzosNavy Blue and maroon A-line floor length kurta, has a round neck, sleeveless, flared hemWhite solid palazzos, button closure",Blue
Men,949,6,1003775,"Navy and red striped sweater, has a V-neck and long sleeves", Red
Women,749,5,10206361,"White printed T-shirt, has a polo collar, and short sleeves", White
Boys,999,4,10256627,"Black woven chinos has regular fit, mid rise with 4 pockets", Black
Women,674,5,10235537,"Navy blue medium wash 5-pocket high-rise jeans with side stripe detail, clean look, no fade, has a button and zip closure, and waistband with belt loops",Blue
Women,869,5,10004315,"Blue printed woven shirt dress, has a mandarin collar, three-quarter sleeves, button closure,, high-low hem",Blue
Men,674,5,10178403,"Navy Blue solid formal shirt, has a spread collar, long sleeves, button placket, straight hem, and 1 patch pocket",Blue
Women,599,4,10235659,"Magenta solid dupatta, has tasselled border", Magenta
Men,967,5,10019195,"Pack of 3 Black, White & Light Blue regular-fit printed boxers with a microfibre waistband and pockets on both sides.Key Features:Intelli Ease:Our Intelli Ease fabric technology makes for the most luxurious comfort wear that guarantees unmatched lightness, softness and breathability. Fit: Relaxed fit for everyday wear.Functionality: Dual side pockets to keep important belongings and a concealed button placket.Waistband:Soft, Anti-roll, microfibre waistband on the inside with comfort stretch that won't leave any marks.Skin Hygiene:Enhanced with antimicrobial finish to prevent unpleasant odours and rashes..",
Unisex,537,4,10193831,Teal blue and pink printed mobile case with a 3D print and slim fit edgeSuitable for iPhone X,Blue
Women,895,5,10233437,"A pair of beige pointed toe flats, has regular styling, slip-on detailSynthetic upperCushioned footbedTextured and patterned outsole", Beige
Unisex,767,4,10089141,"Set content: Reversible single bed doharUsage: AC RoomGSM: 110Colour: Black, grey and whitePattern: Geometric Dohar", Black
Women,900,2,1026991,"Pack of two full-coverage bras in blackEach bra has non-wired, non-padded embroidered cups with seams, adjustable shoulder straps, three rows of quadruple hook-and-eye closure on the back Owing to intimate nature of this product it is eligible for self-ship return only (no pick-up facility)",
Women,899,5,10199919,"Dusty pink solid woven regular top with gathered detail, has a square neck, sleeveless", Pink
Women,919,5,10132347,"Black solid knitted sheath dress, has an off-shoulder neck, long bell sleeves, straight hem,, back slit", Black
Unisex,13365,6,10017459,"Silver textured cabin trolley bag, secured with a TSA lockOne handle on the top and one on the side, has a trolley with a retractable handle on the top and four corner mounted inline skate wheelsOne main zip compartment, an inner mesh zip compartment, two compression straps with click clasps and one zip compartment on the flap with a zip pocketWarranty: 5 yearsWarranty provided by Brand Owner / Manufacturer", Silver
Boys,1399,4,10134451,"Black and Brown colourblocked jacket, has a stand collar, 2 pockets, button closure, long sleeves, straight hem, and polyester lining", Black
Women,2125,4,10033775,"Shade No: 04Shade Name: EikoWhat it isThis air-whipped cream blush transforms into a long-lasting, weightless, breathable powder with a soft matte finishWhat it doesThis blush uses breakthrough AirFusion Technology to blend effortlessly across skin. The mousse-like texture transforms into an ultra-thin, featherweight powder with a soft matte finish that lasts eight hours. Available in six vivid shades inspired by the House of SHISEIDO's muses and collaborators of the past and present.",
Men,2685,5,10006067,"A pair of tan brown round-toed formal derbys, has central lace-upsLeather upper, has a textured detailCushioned footbedTextured PU outsole, has a stacked heelWarranty: 3 months against manufacturing defect onlyWarranty provided by the brand owner / manufacturer", Brown
Women,599,4,10031035,"Gold-Toned handcrafted filigree work elephant-shaped, multi-layered necklaceMaterial and stone type: German Silver with Artificial Stones and BeadsClosure: Lobster ClosureWarranty: 1 monthWarranty provided by brand/manufacturer", Red
Unisex,399,3,10024499,Set content: 1 table matShape: RectangleColour: Pink and greenPattern: PrintedSuitable For: 1 seater tableMaterial: Cotton, Green
Girls,899,5,10145343,Soft jersey knit.Ribbed crewneck.Long sleeves.Gap logo flippy sequins at front.Curved hem.,
Women,766,5,10245937,"A pair of tan brown open toe heels, has regular styling, open back detailSynthetic upperCushioned footbedTextured and patterned outsole, has a block heelWarranty: 60 daysWarranty provided by brand/manufacturer", Brown
Unisex,629,4,10202465,Set content: 2 Long Door curtainsColour: Brown and BlackPattern: Floral Long DoorLight blocking: RegularFitting: EyeletLining: No, Black
Men,1236,5,10248827,"Blue and Grey printed casual shirt, has a spread collar, long sleeves, button placket, curved hem, and 1 patch pocket",Blue
Women,907,5,10109023,"Blue and White checked straight kurta, has a mandarin collar, three-quarter sleeves, straight hem, and side slits",Blue
Boys,1299,4,10244401,"Standout, specially designed graphics let you be youSoft knitLong contrast raglan sleevesCrewneckLogo graphics at front",
Boys,699,4,10256565,"Blue and Black printed casual shirt, has a spread collar, long sleeves, button placket, and curved hem",Blue
Women,425,5,10000813,Beige and Purple solid medium-coverage beginners brasNon Padded and Non-Wired cut and sew cupsRegular straps and back closureBack style: RegularFeature: All Day Comfort,
Women,999,7,10177975,"White and Black printed jacket, has a stand collar, 2 pockets, zip closure, long sleeves, straight hem, and polyester lining", White
Men,499,4,10060541,"White and Blue printed formal shirt, has a spread collar, long sleeves, button placket, curved hem, and 1 patch pocket",Blue
Men,679,5,10148021,"Cream-coloured solid T-shirt, has a Henley neck, and long sleeves", Red
Women,4250,6,10241509,"What it isL.12.12 French Panache Pour Elle Eau De ToiletteNotesTop Notes: Blackcurrant, Pink Pepper, BergamotHeart Notes: Jasmine sambac, champagne ros accord, rose essentialBase Notes: Blond woods, Patchouli, Musks",
Women,2514,5,10133445,"Off-White solid shoulder bag, has a zip closure2 main compartments, 1 external and 5 inner pocketsTablet sleeve: NoTwo Handles with a detachable sling strapWarranty: 1 yearWarranty provided by brand/manufacturer", White
Women,1099,5,10132377,"Black solid woven flounce A-line dress, has a tie-up neck, long sleeves, half button closure, an attached lining, flounce hem", Red
Women,531,5,10205781,"Off-White solid woven regular  top, has a round neck, and three-quarter sleeves", White
Men,949,5,10247649,"A pair of maroon and black training shoes, has regular styling, lace-up detailMesh upperCushioned footbedTextured and patterned outsole       Engineered with Pro bounce 6.0 technologyWarranty: 30 daysWarranty provided by brand/manufacturer", Black
Men,5596,5,10052569,"Display: AnalogueMovement: QuartzPower source: BatteryDial style: Solid round stainless steel dialFeatures: ChronographStrap style: Grey regular, stainless steel strap with a tang closureWater resistance: 50 mWarranty: 2 yearsWarranty provided by brand/manufacturer Comes in a signature Titan case",Blue
Men,594,5,10215739,"Mustard and Navy Blue colourblocked pullover sweater, has a hood, long sleeves, and ribbed hem",Blue
Men,1649,5,10268171,"Grey printed T-shirt, has a round neck, and short sleeves", Grey
Men,599,5,10030169,"Blue self-design casual shirt, has a spread collar, long sleeves, button placket, straight hem, and 1 patch pocket",Blue
Women,509,5,10004477,"Blue solid A-line top, has v-neck, three quarter sleeves, ruffle detailing, lace inserts",Blue
Men,879,5,10099485,"Navy Blue dark wash 5-pocket mid-rise jeans, clean look, heavy fade, has a button and zip closure, and waistband with belt loops",Blue
Men,449,4,10073263,"Multicoloured striped T-shirt, has a round neck, and short sleeves", Red
Unisex,3599,5,10018119,"A pair of round-toe grey sneakers, has regular styling, lace-up detailTextile upperCushioned footbedTextured and patterned outsoleWarranty: 3 monthsWarranty provided by brand/manufacturer", Grey
Boys,649,3,10212985,"Navy printed T-shirt, has a round neck, and long sleeves", Navy
Women,756,5,10236157,"Black and Cream-coloured printed straight kurta, has a round neck, three-quarter sleeves, straight hem, and side slits", Red
Men,1154,5,10018857,"Blue solid formal shirt, has a spread collar, long sleeves, button placket,  straight hem, one patch pocket",Blue
Women,559,4,1025060,"Revlon Super Lustrous Matte Retro Red lipstickExclusive LiquiSilk formula with mega-moisturisers which seal in colour and softnessHas a silky-smooth, creamy texture which is easy to apply", Red
Men,879,5,10187743,"Olive Green solid mid-rise cargo shorts, has 6 pockets, and button closure", Green
Men,1767,7,10032631,"Mustard Yellow, Black and White colourblocked puffer jacket, has a hooded, 3 pockets, zip closure, long sleeves, straight hem, and polyester lining", Yellow
Women,2490,5,10141875,"Black solid woven wrap top with layered detail, has a round neck, sleeveless, and button closure", Black
Men,3999,7,10187125,"Mustard yellow solid biker jacket, has a stand collar, 3 pockets, zip closure, long sleeves, straight hem, and polyester lining", Yellow
